Treatment,days,change_O2_uM,sd_change_O2_uM
Kelp Exudate,0,0.00,0.00
Kelp Exudate,1,-3.31,0.17
Kelp Exudate,2,-5.91,0.43
Kelp Exudate,3,-8.21,0.77
Kelp Exudate,4,-9.67,0.96
Kelp Exudate,5,-12.03,0.98
Kelp Exudate,6,-15.60,1.38
Kelp Exudate,7,-17.54,1.79
Kelp Exudate_Nitrate_Phosphate,0,0.00,0.00
Kelp Exudate_Nitrate_Phosphate,1,-3.33,0.32
Kelp Exudate_Nitrate_Phosphate,2,-5.77,0.41
Kelp Exudate_Nitrate_Phosphate,3,-7.93,0.48
Kelp Exudate_Nitrate_Phosphate,4,-9.31,0.53
Kelp Exudate_Nitrate_Phosphate,5,-11.51,0.69
Kelp Exudate_Nitrate_Phosphate,6,-14.51,0.89
Kelp Exudate_Nitrate_Phosphate,7,-16.10,0.90
Glucose_Nitrate_Phosphate,0,0.00,0.00
Glucose_Nitrate_Phosphate,1,-5.79,0.15
Glucose_Nitrate_Phosphate,2,-8.65,0.12
Glucose_Nitrate_Phosphate,3,-11.90,0.04
Glucose_Nitrate_Phosphate,4,-13.79,0.23
Glucose_Nitrate_Phosphate,5,-16.06,0.84
Glucose_Nitrate_Phosphate,6,-18.95,0.93
Glucose_Nitrate_Phosphate,7,-20.67,0.53
Control,0,0.00,0.00
Control,1,-2.25,0.11
Control,2,-3.92,0.26
Control,3,-5.62,0.41
Control,4,-6.85,0.55
Control,5,-9.05,0.81
Control,6,-11.84,0.91
Control,7,-13.36,0.97
