Treatment,Sample,Time,Phosphate_uM,below_PO4_detection_lim,Nitrite_Nitrate_uM,below_NO2_NO3_detection_lim,Ammonia_uM,below_NH4_detection_lim
Control,A,T0,0.106221391,NO,0.11109613,YES,0.806398907,NO
Control,B,T0,0.156880752,NO,0.059175378,YES,0.642180802,NO
Kelp Exudate,C,T0,0.181726734,NO,0.151548676,YES,0.794464929,NO
Kelp Exudate,D,T0,0.149520078,NO,0.088731107,YES,0.934788481,NO
Kelp Exudate_Nitrate_Phosphate,E,T0,1.676020392,NO,0.041523645,YES,5.940749275,NO
Kelp Exudate_Nitrate_Phosphate,F,T0,1.667096869,NO,-0.002427555,YES,5.895640766,NO
Glucose_Nitrate_Phosphate,G,T0,1.69277952,NO,0.089335806,YES,6.111255237,NO
Glucose_Nitrate_Phosphate,H,T0,1.68385387,NO,0.366687569,NO,6.001207066,NO
Control,A,T9,0.246870228,NO,0.082078539,YES,1.605390997,NO
Control,B,T9,0.246971306,NO,0.020072058,YES,1.472234701,NO
Kelp Exudate,C,T9,0.261064835,NO,0.05521002,YES,1.398629285,NO
Kelp Exudate,D,T9,0.235485552,NO,0.0456121,YES,1.46973602,NO
Kelp Exudate_Nitrate_Phosphate,F,T9,1.731644751,NO,0.094475213,YES,6.51113004,NO
Glucose_Nitrate_Phosphate,H,T9,1.740068196,NO,0.086614555,YES,6.402841938,NO
