Experiment,Location,Temperature,Depth,Bottle,Timepoint,Treatment,Target_DOC_Amendment,Inoculum_L,Media_L,Datetime,TOC_Sample,Cell_Sample,DAPI_Sample,DNA_Sample,Nutrient_Sample,DNA_Sample_ID
144L_2021,Goleta Pier,19,1,A,0,Control,0,2,5,2021-10-04T16:00,TRUE,TRUE,TRUE,TRUE,TRUE,144_A0_S1
144L_2021,Goleta Pier,19,1,A,1,Control,0,2,5,2021-10-05T08:00,FALSE,TRUE,FALSE,FALSE,FALSE,
144L_2021,Goleta Pier,19,1,A,2,Control,0,2,5,2021-10-05T20:00,FALSE,TRUE,FALSE,FALSE,FALSE,
144L_2021,Goleta Pier,19,1,A,3,Control,0,2,5,2021-10-06T08:00,FALSE,TRUE,FALSE,FALSE,FALSE,
144L_2021,Goleta Pier,19,1,A,4,Control,0,2,5,2021-10-06T20:00,TRUE,TRUE,TRUE,TRUE,FALSE,144_A4_S2
144L_2021,Goleta Pier,19,1,A,5,Control,0,2,5,2021-10-07T08:00,FALSE,TRUE,FALSE,FALSE,FALSE,
144L_2021,Goleta Pier,19,1,A,6,Control,0,2,5,2021-10-07T20:00,FALSE,TRUE,FALSE,FALSE,FALSE,
144L_2021,Goleta Pier,19,1,A,7,Control,0,2,5,2021-10-08T08:00,FALSE,TRUE,FALSE,FALSE,FALSE,
144L_2021,Goleta Pier,19,1,A,8,Control,0,2,5,2021-10-08T20:00,TRUE,TRUE,TRUE,TRUE,FALSE,144_A8_S3
144L_2021,Goleta Pier,19,1,A,9,Control,0,2,5,2021-10-13T16:30,TRUE,FALSE,FALSE,FALSE,TRUE,
144L_2021,Goleta Pier,19,1,B,0,Control,0,2,5,2021-10-04T16:00,TRUE,TRUE,TRUE,TRUE,TRUE,144_B0_S4
144L_2021,Goleta Pier,19,1,B,1,Control,0,2,5,2021-10-05T08:00,FALSE,TRUE,FALSE,FALSE,FALSE,
144L_2021,Goleta Pier,19,1,B,2,Control,0,2,5,2021-10-05T20:00,FALSE,TRUE,FALSE,FALSE,FALSE,
144L_2021,Goleta Pier,19,1,B,3,Control,0,2,5,2021-10-06T08:00,FALSE,TRUE,FALSE,FALSE,FALSE,
