"","Experiment","Location","Temperature","Depth","Timepoint","Treatment","Target_DOC_Amendment","Inoculum_L","Media_L","Datetime","TOC_Sample","Cell_Sample","DAPI_Sample","DNA_Sample","Nutrient_Sample","Cells_mL","Cells_mL_Stdev","Mean_Biovolume_um3_cell","Biovolume_Stdev_um3_cell","Cells_L","Cells_L_Stdev","interv","s","hours","days","ln_cells","diff_ln_cells","exp_start","exp_end","ln_cells_exp_start","ln_cells_exp_end","cells_exp_start","cells_exp_end","days_exp_start","days_exp_end","mew","doubling","delta_cells","CCF","bc","delta_bc","biovol_CCF","biovol_bc","biovol_bc_exp_end","delta_biovol_bc"
"1","144L_2021","Goleta Pier",19,1,0,"Control",0,2,5,2021-10-04 16:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,660667,73217.755744737,0.0455620925016649,0.00605480485186889,660667000,73217755.744737,2021-10-04 16:00:00 UTC--2021-10-04 16:00:00 UTC,0,0,0,20.3087604887268,0,0,4,20.3087604887268,20.639237913974,660667000,919405583.2,0,2.16666666666667,0.152528042421786,4.5443917692406,258738583.2,30,1.6516675,0.646846458,29.9736996694124,1.65021951995764,2.47461333647008,0.824393816512438
"2","144L_2021","Goleta Pier",19,1,4,"Control",0,2,5,2021-10-06 20:00:00,TRUE,TRUE,TRUE,TRUE,FALSE,919405.5832,363326.273921136,0.0508035317931087,0.0110003691747131,919405583.2,363326273.921136,2021-10-04 16:00:00 UTC--2021-10-06 20:00:00 UTC,187200,52,2.16666666666667,20.639237913974,0.330477425247203,0,4,20.3087604887268,20.639237913974,660667000,919405583.2,0,2.16666666666667,0.152528042421786,4.5443917692406,258738583.2,30,2.298513958,0.646846458,32.2984334446675,2.47461333647008,2.47461333647008,0.824393816512438
"3","144L_2021","Goleta Pier",19,1,8,"Control",0,2,5,2021-10-08 20:00:00,TRUE,TRUE,TRUE,TRUE,FALSE,1133869.724,99930.0501434825,0.040932122992206,0.00468449505458883,1133869724,99930050.1434825,2021-10-04 16:00:00 UTC--2021-10-08 20:00:00 UTC,360000,100,4.16666666666667,20.8489021538183,0.20966423984429,0,4,20.3087604887268,20.639237913974,660667000,919405583.2,0,2.16666666666667,0.152528042421786,4.5443917692406,258738583.2,30,2.83467431,0.646846458,27.8493029291424,2.63145678548826,2.47461333647008,0.824393816512438
"4","144L_2021","Goleta Pier",19,1,0,"Kelp Exudate",10,2,5,2021-10-04 16:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,663088.1088,113546.267050047,0.0387149861973244,0.00544648526503371,663088108.8,113546267.050047,2021-10-04 16:00:00 UTC--2021-10-04 16:00:00 UTC,0,0,0,20.3124184334381,0,0,4,20.3124184334381,20.7659400299675,663088108.8,1043597828,0,2.16666666666667,0.209317659936624,3.31146058469129,380509719.2,30,1.657720272,0.951274298000001,26.8054627096945,1.48119863114002,3.434791214502,1.95359258336197
"5","144L_2021","Goleta Pier",19,1,4,"Kelp Exudate",10,2,5,2021-10-06 20:00:00,TRUE,TRUE,TRUE,TRUE,FALSE,1043597.828,181810.623717289,0.0681162915851868,0.0134923167111327,1043597828,181810623.717289,2021-10-04 16:00:00 UTC--2021-10-06 20:00:00 UTC,187200,52,2.16666666666667,20.7659400299675,0.453521596529352,0,4,20.3124184334381,20.7659400299675,663088108.8,1043597828,0,2.16666666666667,0.209317659936624,3.31146058469129,380509719.2,30,2.60899457,0.951274298000001,39.4955733599169,3.434791214502,3.434791214502,1.95359258336197
"6","144L_2021","Goleta Pier",19,1,8,"Kelp Exudate",10,2,5,2021-10-08 20:00:00,TRUE,TRUE,TRUE,TRUE,FALSE,1115268.2424,149497.948503201,0.0327202490844959,0.00969713437558492,1115268242.4,149497948.503201,2021-10-04 16:00:00 UTC--2021-10-08 20:00:00 UTC,360000,100,4.16666666666667,20.8323607890682,0.0664207591006942,0,4,20.3124184334381,20.7659400299675,663088108.8,1043597828,0,2.16666666666667,0.209317659936624,3.31146058469129,380509719.2,30,2.788170606,0.951274298000001,23.8837451299927,2.21973187108805,3.434791214502,1.95359258336197
"7","144L_2021","Goleta Pier",19,1,0,"Kelp Exudate_Nitrate_Phosphate",10,2,5,2021-10-04 16:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,672115.2984,71870.4841418611,0.0363097062789799,0.00501249247636953,672115298.4,71870484.1418611,2021-10-04 16:00:00 UTC--2021-10-04 16:00:00 UTC,0,0,0,20.3259404587701,0,0,4,20.3259404587701,20.927514870441,672115298.4,1226603580.8,0,2.16666666666667,0.277649728463479,2.49648067151313,554488282.4,30,1.680288246,1.386220706,25.6515632232606,1.43673400585235,5.33875930980589,3.90202530395354
"8","144L_2021","Goleta Pier",19,1,4,"Kelp Exudate_Nitrate_Phosphate",10,2,5,2021-10-06 20:00:00,TRUE,TRUE,TRUE,TRUE,FALSE,1226603.5808,153931.808016209,0.102370221790258,0.0147801227057445,1226603580.8,153931808.016209,2021-10-04 16:00:00 UTC--2021-10-06 20:00:00 UTC,187200,52,2.16666666666667,20.927514870441,0.601574411670871,0,4,20.3259404587701,20.927514870441,672115298.4,1226603580.8,0,2.16666666666667,0.277649728463479,2.49648067151313,554488282.4,30,3.066508952,1.386220706,52.2296793523845,5.33875930980589,5.33875930980589,3.90202530395354
"9","144L_2021","Goleta Pier",19,1,8,"Kelp Exudate_Nitrate_Phosphate",10,2,5,2021-10-08 20:00:00,TRUE,TRUE,TRUE,TRUE,FALSE,1391554.9544,81241.0732968445,0.0613337899546764,0.00992733208000251,1391554954.4,81241073.2968445,2021-10-04 16:00:00 UTC--2021-10-08 20:00:00 UTC,360000,100,4.16666666666667,21.0536876310717,0.126172760630716,0,4,20.3259404587701,20.927514870441,672115298.4,1226603580.8,0,2.16666666666667,0.277649728463479,2.49648067151313,554488282.4,30,3.478887386,1.386220706,36.7536354682935,4.26205862734295,5.33875930980589,3.90202530395354
"10","144L_2021","Goleta Pier",19,1,0,"Glucose_Nitrate_Phosphate",10,2,5,2021-10-04 16:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,646948.588,126328.472847723,0.0518541974632187,0.00994342489947469,646948588,126328472.847723,2021-10-04 16:00:00 UTC--2021-10-04 16:00:00 UTC,0,0,0,20.287777387175,0,0,4,20.287777387175,21.2336474469529,646948588,1665926808,0,2.16666666666667,0.436555412205189,1.58776448803744,1018978220,30,1.61737147,2.54744555,32.7551812459103,1.76590985472715,6.90470044405541,5.13879058932827
